premise	hypothesis
<sos> the boy gave the man an apple . 	<sos> a boy is dressed in front of a building . 
<sos> the cat has three whiskers . 	<sos> a black cat of professional cat stand in front of an automobile . 
<sos> the father looked at his son . 	<sos> there is a women in this picture . 
<sos> the student is driving a red car . 	<sos> the person is outdoors . 
<sos> the lady owns at least four cats . 	<sos> a lady is holding something . 
<sos> ten students are eating lunch . 	<sos> a group of students eating . 
<sos> a dog jumped over the fence . 	<sos> a dog is playing with snow . 
<sos> a green bird flew under the bridge . 	<sos> the bird has a bird in it . 
<sos> a pen is on the table . 	<sos> a cup has a child . 
<sos> some leaders had a meeting . 	<sos> three people are holding up a big item . 
